champ,2,3,4,5,6,7,rank,factor,6/29/16,"Multiple data corrections per image, guillotine fix"
4-abomination,3863,3839,3806,3760,3681,3224,'1/25,0.71,,
4-agentvenom,4175,4148,4112,4061,3973,3453,'2/35,1.00,,
4-antman,3810,3790,3771,3701,3690,3134,'3/45,1.00,,
4-blackbolt,3742,3719,3687,3642,3565,3103,'4/55,1.00,,
4-blackpanther,3746,3721,3689,3644,3565,3101,'1/10,0.30,,
4-blackpanthercw,4250,4249,4209,4132,4041,3498,'2/20,0.40,,
4-blackwidow,3930,3921,3880,3840,3771,3358,'3/30,0.55,,
4-captainamerica,4002,3973,3935,3880,3794,3231,'4/40,0.75,,
4-captainamericawwii,4168,4139,4101,4047,3955,3404,'5/50,1,,
4-captainmarvel,3870,3844,3810,3762,3679,3185,,,,
4-colossus,4062,4032,3991,3934,3836,3252,,,,
4-crossbones,4278,4249,4209,4154,4059,3492,,,,
4-cyclops,3836,3811,3778,3731,3650,3166,,,,
4-cyclops90s,4035,4008,3972,3921,3832,3308,,,,
4-daredevil,3996,3970,3934,3885,3799,3289,,,,
4-daredevilnetflix,3919,3870,3819,3767,3716,3323,,,,
4-deadpool,4048,4019,3978,3917,3828,3339,,,,
4-deadpoolxforce,4164,4136,4098,4044,3952,3330,,,,
4-drax,3858,3833,3800,3754,3674,3199,,,,
4-drstrange,3859,3837,3806,3762,3688,3242,,,,
4-electro,4237,4203,4157,4092,3980,3313,,,,
4-elektra,4113,4084,4045,3990,3895,3219,,,,
4-falcon,4254,4226,4188,4134,4042,3490,,,,
4-gamora,3938,3912,3875,3824,3735,3206,,,,
4-groot,4077,3998,3969,3928,3867,3327,,,,
4-guillotine,3925,3093,3873,3830,3758,3325,,,,
4-hawkeye,3727,3703,3671,3626,3548,3116,,,,
4-hulk,3677,3639,3625,3582,3509,3056,,,,
4-hulkbuster,4126,4100,4079,4018,3937,3426,,,,
4-ironfist,4064,4034,3992,3934,3838,3228,,,,
4-ironfistwhite,4286,4252,4205,4140,4028,3418,,,,
4-ironman,3810,3787,3757,3714,3641,3202,,,,
4-ironpatriot,3846,3824,3794,3753,3680,3241,,,,
4-joefixit,4004,3978,3943,3893,3808,3299,,,,
4-juggernaut,3706,3686,3658,3619,3547,3104,,,,
4-kamalakhan,4119,4090,4050,3995,3900,3378,,,,
4-kang,4049,4020,3979,3918,3836,3297,,,,
4-lukecage,4033,4004,3962,3901,3802,3247,,,,
4-magik,3699,3677,3648,3607,3537,3089,,,,
4-magneto,3886,3857,3832,3771,3716,3277,,,,
4-magnetomarvelnow,3976,3953,3923,3880,3806,3367,,,,
4-moonknight,3830,3807,3774,3730,3651,3191,,,,
4-msmarvel,3902,3876,3841,3791,3705,3199,,,,
4-punisher,3753,3731,3701,3659,3587,3157,,,,
4-redhulk,4257,4228,4189,4134,4040,3477,,,,
4-rhino,3802,3778,3745,3699,3621,3127,,,,
4-rocket,4278,4243,4196,4129,4015,3334,,,,
4-ronan,3717,3694,3663,3620,3546,3103,,,,
4-scarletwitch,3790,3767,3735,3691,3615,3158,,,,
4-shehulk,3880,3846,3810,3775,3739,3241,,,,
4-spidergwen,3914,3900,3853,3861,3673,3248,,,,
4-spiderman,3635,3617,3593,3560,3502,3154,,,,
4-spidermanblack,3806,3787,3762,3726,3666,3301,,,,
4-spidermanmorales,3858,3843,3823,3794,3745,3237,,,,
4-starlord,3800,3776,3743,3696,3617,3140,,,,
4-storm,4061,4033,3994,3940,3847,3293,,,,
4-superiorironman,4050,4028,3991,3948,3872,3404,,,,
4-thevision,3993,3943,3891,3838,3785,3200,,,,
4-thor,3659,3637,3605,3564,3491,3057,,,,
4-thorjanefoster,4040,3959,3930,3883,3806,3342,,,,
4-ultron,4275,4245,4204,4147,4048,3526,,,,
4-unstoppablecolossus,3810,3788,3759,3718,3648,3227,,,,
4-venom,3917,3890,3854,3803,3716,3194,,,,
4-venompool,4068,4042,4007,3957,3872,3364,,,,
4-vision,4284,4256,4218,4164,4088,3605,,,,
4-warmachine,3861,3838,3807,3764,3690,3133,,,,
4-wintersoldier,3719,3696,3667,3625,3553,3123,,,,
4-wolverine,3721,3701,3675,3636,3570,3141,,,,
4-wolverineoldman,3881,3857,3825,3779,3701,3288,,,,
4-x23,3951,3924,3888,3838,3751,3396,,,,
4-yellowjacket,3937,3913,3882,3837,3761,3306,,,,
5-blackpanther,3041,2972,2896,2820,2712,2430,,,,
5-captainmarvel,3102,2968,2892,2900,2713,2614,,,,
5-cyclops,3031,3011,2985,2947,2884,2502,,,,
5-ironman,2927,2909,2887,2853,2797,2458,,,,
5-juggernaut,3057,2987,2910,2822,2720,2464,,,,
5-magik,3017,2948,2872,2787,2684,2428,,,,
5-rhino,3107,3037,3104,2873,2701,2429,,,,
5-ronan,3050,2981,2904,2818,2715,2451,,,,
5-spiderman,2884,2870,2851,2824,2778,2504,,,,
5-starlord,3023,2990,2946,2885,2779,2504,,,,
5-storm,3196,3123,3044,2954,2846,2557,,,,
5-wintersoldier,2936,2905,2864,2805,2704,2445,,,,
5-blackpanther3/45,4342,4244,4136,4014,3867,3487,,,,
5-captainmarvel3/45,4432,4332,4221,4097,3949,3556,,,,
5-cyclops3/45,4241,4213,4176,4124,4035,3502,,,,
5-ironman3/45,4235,4211,4177,4128,4047,3556,,,,
5-juggernaut3/45,4360,4259,4149,4025,3878,3515,,,,
5-magik3/45,4299,4201,4093,3972,3827,3458,,,,
5-rhino3/45,4274,4086,4071,3952,3822,3487,,,,
5-ronan3/45,4377,4277,4167,4043,3896,3517,,,,
5-spiderman3/45,4131,4111,4084,4045,3980,3587,,,,
5-starlord3/45,4312,4265,4203,4116,3965,3572,,,,
5-storm3/45,4549,4445,4332,4205,4052,3640,,,,
5-wintersoldier3/45,4278,4233,4124,4001,3856,3487,,,,
5-blackpanther4/55,5850,5717,5572,5407,5210,4697,,,,
5-captainmarvel4/55,6029,5893,5743,5574,5372,4837,,,,
5-cyclops4/55,5711,5673,5624,5554,5434,4716,,,,
5-ironman4/55,5803,5767,5721,5656,5545,4877,,,,
5-juggernaut4/55,5975,5837,5687,5517,5315,4817,,,,
5-magik4/55,5921,5786,5638,5471,5271,4763,,,,
5-rhino4/55,5777,5646,5503,5341,5147,4629,,,,
5-ronan4/55,5895,5760,5612,5445,5247,4737,,,,
5-spiderman4/55,5617,5589,5552,5500,5411,4877,,,,
5-starlord4/55,5860,5796,5712,5593,5389,4854,,,,
5-storm4/55,6259,6119,5964,5789,5579,5009,,,,
5-wintersoldier4/55,5742,5682,5602,5487,5287,4784,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
